,Country name,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator
0,Albania,2021,9.52,0.697,68.999,0.785,-0.03,0.901,0.6538461538461539,0.29923076923076924,Central and Eastern Europe
12,Bosnia and Herzegovina,2021,9.59,0.87,68.098,0.706,0.113,0.931,0.5856153846153846,0.31053846153846154,Central and Eastern Europe
24,Bulgaria,2021,10.016,0.931,67.0,0.788,-0.096,0.932,0.6154166666666666,0.22258333333333333,Central and Eastern Europe
35,Croatia,2021,10.217,0.924,70.799,0.754,-0.118,0.939,0.6146153846153847,0.29038461538461535,Central and Eastern Europe
47,Czech Republic,2021,10.556,0.947,70.807,0.858,-0.208,0.868,0.7083333333333334,0.23991666666666667,Central and Eastern Europe
56,Estonia,2021,10.481,0.941,68.8,0.909,-0.106,0.527,0.704,0.19178571428571428,Central and Eastern Europe
69,Hungary,2021,10.358,0.943,68.0,0.755,-0.186,0.876,0.6863571428571429,0.24557142857142855,Central and Eastern Europe
81,Latvia,2021,10.315,0.927,67.1,0.715,-0.162,0.8,0.6190714285714286,0.22442857142857142,Central and Eastern Europe
94,Lithuania,2021,10.499,0.935,67.906,0.773,-0.203,0.826,0.5755333333333332,0.2598666666666667,Central and Eastern Europe
109,Montenegro,2021,9.94,0.858,68.699,0.708,-0.034,0.812,0.5826153846153846,0.3680769230769231,Central and Eastern Europe
121,North Macedonia,2021,9.693,0.805,65.474,0.751,0.038,0.905,0.5940769230769231,0.3242307692307692,Central and Eastern Europe
133,Poland,2021,10.382,0.898,69.702,0.841,-0.165,0.735,0.7421428571428572,0.23542857142857146,Central and Eastern Europe
145,Romania,2021,10.284,0.832,67.355,0.845,-0.219,0.938,0.6459230769230769,0.2982307692307692,Central and Eastern Europe
155,Serbia,2021,9.787,0.873,68.6,0.778,0.002,0.835,0.5346153846153846,0.3474615384615385,Central and Eastern Europe
167,Slovakia,2021,10.369,0.936,69.201,0.766,-0.124,0.911,0.7151666666666667,0.26758333333333334,Central and Eastern Europe
178,Slovenia,2021,10.529,0.948,71.4,0.949,-0.101,0.806,0.643076923076923,0.2826923076923077,Central and Eastern Europe
190,Azerbaijan,2021,9.569,0.836,65.656,0.814,-0.223,0.506,0.5730000000000001,0.23064285714285715,South Asia
203,Kazakhstan,2021,10.155,0.952,65.2,0.853,-0.069,0.733,0.7030666666666666,0.1616,South Asia
218,Kyrgyzstan,2021,8.538,0.893,64.401,0.935,0.119,0.908,0.7094,0.16693333333333332,South Asia
233,Tajikistan,2021,8.091,0.86,64.281,0.832,-0.056,0.553,0.6645333333333333,0.20326666666666665,South Asia
248,Turkmenistan,2021,9.629,0.983,62.409,0.877,0.273,0.888,0.6282,0.1983,South Asia
256,Uzbekistan,2021,8.836,0.918,65.255,0.97,0.311,0.515,0.7901538461538462,0.15784615384615386,South Asia
267,Armenia,2021,9.487,0.799,67.055,0.825,-0.168,0.629,0.5502142857142858,0.43407142857142855,Central and Eastern Europe
280,Belarus,2021,9.853,0.91,66.253,0.65,-0.18,0.627,0.5635384615384615,0.21792857142857144,Central and Eastern Europe
293,Georgia,2021,9.585,0.671,64.3,0.783,-0.238,0.655,0.5342666666666667,0.24013333333333334,Central and Eastern Europe
308,Moldova,2021,9.454,0.857,65.699,0.822,-0.079,0.918,0.5968666666666667,0.27759999999999996,Central and Eastern Europe
323,Russia,2021,10.189,0.903,64.703,0.718,-0.111,0.845,0.6397999999999999,0.17713333333333334,Central and Eastern Europe
338,Ukraine,2021,9.436,0.888,64.902,0.724,-0.011,0.924,0.6010000000000001,0.22333333333333333,Central and Eastern Europe
353,China,2021,9.673,0.811,69.593,0.904,-0.146,0.755,0.8211333333333334,0.16373333333333334,East Asia
368,Japan,2021,10.611,0.884,75.1,0.796,-0.258,0.638,0.7604666666666666,0.1822,East Asia
382,Mongolia,2021,9.4,0.935,62.5,0.708,0.116,0.856,0.6573076923076923,0.18623076923076926,East Asia
394,South Korea,2021,10.651,0.799,73.9,0.672,-0.083,0.727,0.6617333333333334,0.22666666666666666,East Asia
409,Argentina,2021,9.962,0.898,69.0,0.828,-0.182,0.834,0.8334666666666666,0.284,Latin America and Caribbean
424,Bolivia,2021,9.046,0.81,63.901,0.875,-0.077,0.839,0.7676666666666667,0.3935333333333333,Latin America and Caribbean
439,Brazil,2021,9.577,0.882,66.601,0.804,-0.071,0.756,0.7834666666666666,0.3046,Latin America and Caribbean
453,Chile,2021,10.071,0.882,70.0,0.742,-0.044,0.83,0.8170666666666667,0.30946666666666667,Latin America and Caribbean
468,Colombia,2021,9.557,0.847,68.001,0.837,-0.135,0.841,0.8248666666666666,0.29613333333333336,Latin America and Caribbean
483,Costa Rica,2021,9.88,0.891,71.4,0.934,-0.126,0.809,0.8660714285714286,0.26557142857142857,Latin America and Caribbean
496,Dominican Republic,2021,9.802,0.853,66.102,0.86,-0.133,0.714,0.7661333333333334,0.2889333333333333,Latin America and Caribbean
511,Ecuador,2021,9.313,0.821,68.8,0.842,-0.124,0.843,0.8392666666666667,0.31326666666666664,Latin America and Caribbean
526,El Salvador,2021,9.054,0.762,66.402,0.888,-0.11,0.688,0.8410666666666666,0.29300000000000004,Latin America and Caribbean
541,Guatemala,2021,9.053,0.813,64.958,0.906,-0.038,0.775,0.8451428571428571,0.2864285714285714,Latin America and Caribbean
554,Haiti,2021,7.477,0.54,55.7,0.593,0.422,0.721,0.5867272727272727,0.3131818181818182,Latin America and Caribbean
562,Honduras,2021,8.648,0.812,67.3,0.857,0.081,0.809,0.8260714285714286,0.2632857142857143,Latin America and Caribbean
575,Jamaica,2021,9.186,0.877,67.5,0.89,-0.137,0.884,0.7693333333333333,0.24966666666666668,Latin America and Caribbean
576,Mexico,2021,9.859,0.831,68.597,0.862,-0.147,0.799,0.8212666666666666,0.23213333333333336,Latin America and Caribbean
590,Nicaragua,2021,8.62,0.864,67.657,0.836,0.02,0.664,0.8060714285714285,0.3132142857142857,Latin America and Caribbean
603,Panama,2021,10.35,0.896,69.652,0.872,-0.166,0.856,0.8528571428571429,0.2075,Latin America and Caribbean
616,Paraguay,2021,9.448,0.893,65.9,0.876,0.028,0.882,0.8677692307692308,0.22376923076923075,Latin America and Caribbean
627,Peru,2021,9.458,0.832,68.25,0.822,-0.154,0.891,0.7783571428571429,0.36342857142857143,Latin America and Caribbean
640,Uruguay,2021,9.966,0.925,69.1,0.896,-0.092,0.59,0.8229333333333333,0.26166666666666666,Latin America and Caribbean
655,Venezuela,2021,9.073,0.861,66.7,0.615,-0.169,0.827,0.8154166666666667,0.2316666666666667,Latin America and Caribbean
665,Algeria,2021,9.342,0.802,66.005,0.48,-0.067,0.752,0.6084285714285714,0.2622857142857143,Middle East and North Africa
669,Bahrain,2021,10.669,0.862,69.495,0.925,0.089,0.722,0.7219,0.3536,Middle East and North Africa
677,Egypt,2021,9.367,0.75,61.998,0.749,-0.182,0.795,0.5873333333333334,0.3564,Middle East and North Africa
691,Iran,2021,9.584,0.71,66.3,0.608,0.218,0.714,0.6348,0.45949999999999996,Middle East and North Africa
698,Iraq,2021,9.24,0.746,60.583,0.63,-0.053,0.875,0.528,0.5135833333333334,Middle East and North Africa
709,Israel,2021,10.575,0.939,73.503,0.8,0.031,0.753,0.6733333333333333,0.309,Middle East and North Africa
724,Jordan,2021,9.182,0.767,67.0,0.755,-0.167,0.705,0.6513333333333333,0.3026666666666667,Middle East and North Africa
738,Kuwait,2021,10.817,0.843,66.9,0.867,-0.104,0.736,0.7445999999999999,0.24409999999999998,Middle East and North Africa
744,Lebanon,2021,9.626,0.848,67.355,0.525,-0.073,0.898,0.5192142857142857,0.32635714285714285,Middle East and North Africa
756,Libya,2021,9.622,0.827,62.3,0.771,-0.087,0.667,0.7048333333333333,0.3745,Middle East and North Africa
760,Morocco,2021,8.903,0.56,66.208,0.774,-0.236,0.801,0.6615555555555556,0.2865555555555555,Middle East and North Africa
768,Palestinian Territories,2021,8.485,0.826,62.25,0.653,-0.163,0.821,0.5612,0.41859999999999997,Middle East and North Africa
772,Qatar,2021,11.553,0.857,0.857,0.905,0.905,0.905,0.905,0.905,Sub-Saharan Africa
773,Saudi Arabia,2021,10.743,0.891,66.603,0.877,-0.149,0.684,0.7354,0.2682,Middle East and North Africa
787,Syria,2021,8.665000000000001,0.7304,0.7304,0.6106,0.6106,0.6106,0.6106,0.6106,Sub-Saharan Africa
792,Tunisia,2021,9.266,0.691,67.201,0.656,-0.201,0.87,0.5614545454545454,0.336,Middle East and North Africa
803,Turkey,2021,10.24,0.822,67.199,0.576,-0.139,0.776,0.5381333333333334,0.36507142857142855,Middle East and North Africa
817,United Arab Emirates,2021,11.085,0.844,67.333,0.932,0.074,0.589,0.7702727272727273,0.26325,Middle East and North Africa
827,Yemen,2021,7.578,0.832,57.122,0.602,-0.147,0.8,0.5362,0.2995,Middle East and North Africa
835,Australia,2021,10.796,0.94,73.9,0.914,0.159,0.442,0.8006428571428571,0.21335714285714286,North America and ANZ
847,Canada,2021,10.776,0.926,73.8,0.915,0.089,0.415,0.848,0.2505,North America and ANZ
